Zipcode,Occurrence
10020,1
10303,1
10005,2
10302,2
11239,2
10075,3
11697,3
10006,4
10038,4
10464,6
10470,6
11360,6
11426,6
10039,7
11692,7
10028,8
10475,8
11004,8
11102,8
10004,9
10307,9
11363,9
11411,9
11428,9
10466,10
10469,10
11357,10
11367,10
10007,11
10030,11
11362,11
11427,11
11429,11
10023,12
10310,12
11231,12
11379,12
11415,12
11693,12
11414,13
10037,14
11104,14
11105,14
11436,14
10021,15
10065,15
10471,15
11356,15
11364,15
11365,15
11374,15
11370,16
11378,16
10024,17
10032,17
10301,17
10309,17
11366,17
11694,17
10010,18
10025,18
11228,18
10473,19
11237,19
10009,20
10035,20
10474,20
11413,21
10128,22
10461,22
11423,22
10462,23
10465,23
11422,23
10314,24
11217,24
10003,25
11205,25
10463,26
11209,26
11229,26
10017,27
10308,27
11103,27
11106,27
11221,27
11249,27
11417,27
11691,27
10033,28
10040,28
11204,28
11214,28
11225,28
11369,28
10312,29
11208,29
11215,29
11230,29
11412,29
10012,30
10018,30
11219,30
11238,30
10014,31
10026,31
10029,31
10453,32
10472,32
11377,32
11433,32
11375,33
11416,33
10467,34
11207,34
10022,35
10454,36
11218,36
11233,36
10305,37
11213,37
11358,37
10019,38
10304,38
10455,38
11216,38
11232,38
10459,39
11210,39
10031,40
10034,40
11224,40
11432,40
11226,41
10468,42
11435,42
10002,43
11101,43
10027,44
11201,45
11355,45
11420,45
11222,46
10011,48
10016,48
10460,48
11234,48
11212,49
11421,49
11223,50
11354,50
10013,51
10036,51
10451,51
10001,52
10306,52
11235,52
11361,52
11385,53
10456,55
11373,55
10458,56
11418,56
11220,58
11372,58
10452,59
11206,64
10457,66
11211,68
11434,69
11203,70
11236,73
11368,77
11419,87
